year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,7,ETCHERLA,Rokkam. Suryaprakash Rao,MALE,60.0,GENERAL,BJP,Lotus,988,34.0,1022,0.523104641,232070
2014,Andhra Pradesh,7,ETCHERLA,Kalavenkata Rao Kimidi,MALE,65.0,GENERAL,TDP,Bicycle,80690,271.0,80961,41.4394079,232070
2014,Andhra Pradesh,7,ETCHERLA,Gorle. Kiran Kumar,MALE,53.0,GENERAL,YSRCP,Ceiling Fan,99070,602.0,99672,51.01652233,232070
2019,Andhra Pradesh,7,ETCHERLA,Mahanthi. Satyanarayana.,MALE,40.0,GENERAL,IND,Bat,782,,782,0.400262064,232070
2019,Andhra Pradesh,7,ETCHERLA,Mudili Venkata Ramana,MALE,40.0,GENERAL,IND,Gas Stove,640,,640,0.327580206,232070
2019,Andhra Pradesh,7,ETCHERLA,Ananth Mahanthi,MALE,33.0,GENERAL,IND,Carrom Board,269,,269,0.137686055,232070
2019,Andhra Pradesh,7,ETCHERLA,Kari. Siva Rao,MALE,42.0,GENERAL,PPOI,FLUTE,195,,195,0.099809594,232070
2019,Andhra Pradesh,7,ETCHERLA,NOTA,,,,NOTA,NOTA,4623,5.0,4628,2.368814364,232070
2019,Andhra Pradesh,7,ETCHERLA,Kottakotla Simhadri Naidu,MALE,41.0,GENERAL,INC,Hand,2126,9.0,2135,1.092787093,232070
2019,Andhra Pradesh,7,ETCHERLA,Badana. Venkata Janardhana Rao,MALE,45.0,GENERAL,JnP,Glass Tumbler,4992,76.0,5068,2.594025756,232070
2019,Andhra Pradesh,7,ETCHERLA,Rokkam. Suryaprakash Rao,MALE,60.0,GENERAL,BJP,Lotus,988,34.0,1022,0.523104641,232070
2019,Andhra Pradesh,7,ETCHERLA,Kalavenkata Rao Kimidi,MALE,65.0,GENERAL,TDP,Bicycle,80690,271.0,80961,41.4394079,232070
2019,Andhra Pradesh,7,ETCHERLA,Gorle. Kiran Kumar,MALE,53.0,GENERAL,YSRCP,Ceiling Fan,99070,602.0,99672,51.01652233,232070
2014,Andhra Pradesh,8,NARASANNAPETA,Naidugari Rajasekhar,MALE,35.0,GENERAL,IND,Switchboard,255,,255,0.152212453,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Reddi Bhagya Lakshmi,FEMALE,44.0,GENERAL,BJP,Lotus,758,123.0,881,0.525879102,210451
2014,Andhra Pradesh,8,NARASANNAPETA,NOTA,,,,NOTA,NOTA,3485,6.0,3491,2.083818324,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Satya Tadi,MALE,44.0,SC,IND,Ganna Kisan,451,3.0,454,0.270997857,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Bheri Venkata Ramana,MALE,53.0,SC,IND,Apple,339,2.0,341,0.203546849,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Dandupati Koteshwar Rao,MALE,42.0,GENERAL,JAJGP,Mike,334,6.0,340,0.202949937,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Dola Udayabhaskara Rao,MALE,48.0,GENERAL,INC,Hand,5235,31.0,5266,3.143336378,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Metta Vaikunta Rao,MALE,45.0,GENERAL,JnP,Glass Tumbler,2373,89.0,2462,1.469596309,210451
2014,Andhra Pradesh,8,NARASANNAPETA,Baggu Ramana Murthy,MALE,60.0,GENERAL,TDP,Bicycle,66597,645.0,67242,40.13752843,210451
2014,Andhra Pradesh,8,NARASANNAPETA,DHARMANA KRISHNA DAS,MALE,64.0,GENERAL,YSRCP,Ceiling Fan,85622,1175.0,86797,51.81013436,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Naidugari Rajasekhar,MALE,35.0,GENERAL,IND,Switchboard,255,,255,0.152212453,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Reddi Bhagya Lakshmi,FEMALE,44.0,GENERAL,BJP,Lotus,758,123.0,881,0.525879102,210451
2019,Andhra Pradesh,8,NARASANNAPETA,NOTA,,,,NOTA,NOTA,3485,6.0,3491,2.083818324,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Satya Tadi,MALE,44.0,SC,IND,Ganna Kisan,451,3.0,454,0.270997857,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Bheri Venkata Ramana,MALE,53.0,SC,IND,Apple,339,2.0,341,0.203546849,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Dandupati Koteshwar Rao,MALE,42.0,GENERAL,JAJGP,Mike,334,6.0,340,0.202949937,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Dola Udayabhaskara Rao,MALE,48.0,GENERAL,INC,Hand,5235,31.0,5266,3.143336378,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Metta Vaikunta Rao,MALE,45.0,GENERAL,JnP,Glass Tumbler,2373,89.0,2462,1.469596309,210451
2019,Andhra Pradesh,8,NARASANNAPETA,Baggu Ramana Murthy,MALE,60.0,GENERAL,TDP,Bicycle,66597,645.0,67242,40.13752843,210451
2019,Andhra Pradesh,8,NARASANNAPETA,DHARMANA KRISHNA DAS,MALE,64.0,GENERAL,YSRCP,Ceiling Fan,85622,1175.0,86797,51.81013436,210451
2014,Andhra Pradesh,9,RAJAM (SC),MANNENA RAMESH,MALE,36.0,SC,PRSHP,Helicopter,505,,505,0.310704222,220006
2014,Andhra Pradesh,9,RAJAM (SC),NOTA,,,,NOTA,NOTA,3583,4.0,3587,2.206922859,220006
2014,Andhra Pradesh,9,RAJAM (SC),KAMBALA JOGULU,MALE,52.0,SC,YSRCP,Ceiling Fan,82569,992.0,83561,51.411397,220006
2014,Andhra Pradesh,9,RAJAM (SC),KONDRU MURALI MOHAN,MALE,49.0,SC,TDP,Bicycle,66272,441.0,66713,41.04556585,220006
2014,Andhra Pradesh,9,RAJAM (SC),MUTCHA SRINIVASA RAO,MALE,39.0,SC,JnP,Glass Tumbler,4924,63.0,4987,3.068281098,220006
2014,Andhra Pradesh,9,RAJAM (SC),KAMBALA RAJAVARDHANA,MALE,36.0,SC,INC,Hand,2205,9.0,2214,1.362176529,220006
2014,Andhra Pradesh,9,RAJAM (SC),CHAITANYA KUMAR MANNENA,MALE,39.0,SC,BJP,Lotus,924,43.0,967,0.594952441,220006
2019,Andhra Pradesh,9,RAJAM (SC),MANNENA RAMESH,MALE,36.0,SC,PRSHP,Helicopter,505,,505,0.310704222,220006
2019,Andhra Pradesh,9,RAJAM (SC),NOTA,,,,NOTA,NOTA,3583,4.0,3587,2.206922859,220006
2019,Andhra Pradesh,9,RAJAM (SC),KAMBALA JOGULU,MALE,52.0,SC,YSRCP,Ceiling Fan,82569,992.0,83561,51.411397,220006
2019,Andhra Pradesh,9,RAJAM (SC),KONDRU MURALI MOHAN,MALE,49.0,SC,TDP,Bicycle,66272,441.0,66713,41.04556585,220006
2019,Andhra Pradesh,9,RAJAM (SC),MUTCHA SRINIVASA RAO,MALE,39.0,SC,JnP,Glass Tumbler,4924,63.0,4987,3.068281098,220006
2019,Andhra Pradesh,9,RAJAM (SC),KAMBALA RAJAVARDHANA,MALE,36.0,SC,INC,Hand,2205,9.0,2214,1.362176529,220006
2019,Andhra Pradesh,9,RAJAM (SC),CHAITANYA KUMAR MANNENA,MALE,39.0,SC,BJP,Lotus,924,43.0,967,0.594952441,220006
2014,Andhra Pradesh,10,PALAKONDA (ST),VISWASARAYI KALAVATHI,FEMALE,53.0,ST,YSRCP,Ceiling Fan,70778,1276.0,72054,52.7049564,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),SUNEETHA THADANGI,FEMALE,28.0,ST,BJP,Lotus,1121,48.0,1169,0.855082217,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),GANGAMMA SAVARA,FEMALE,48.0,ST,IND,Battery Torch,730,2.0,732,0.535432149,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),NOTA,,,,NOTA,NOTA,3544,4.0,3548,2.595236702,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),JAYAKRISHNA NIMMAKA,MALE,39.0,ST,TDP,Bicycle,53622,452.0,54074,39.55322137,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),DVG SANKARA RAO,MALE,50.0,ST,CPI,Ears of Corn And Sickle,3283,60.0,3343,2.445286442,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),H. PRASAD RAO,MALE,39.0,ST,INC,Hand,994,7.0,1001,0.73219615,184967
2014,Andhra Pradesh,10,PALAKONDA (ST),ARIKA KRISHNA RAO,MALE,58.0,ST,IND,Gas Cylinder,786,5.0,791,0.578588566,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),VISWASARAYI KALAVATHI,FEMALE,53.0,ST,YSRCP,Ceiling Fan,70778,1276.0,72054,52.7049564,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),SUNEETHA THADANGI,FEMALE,28.0,ST,BJP,Lotus,1121,48.0,1169,0.855082217,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),GANGAMMA SAVARA,FEMALE,48.0,ST,IND,Battery Torch,730,2.0,732,0.535432149,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),NOTA,,,,NOTA,NOTA,3544,4.0,3548,2.595236702,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),JAYAKRISHNA NIMMAKA,MALE,39.0,ST,TDP,Bicycle,53622,452.0,54074,39.55322137,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),DVG SANKARA RAO,MALE,50.0,ST,CPI,Ears of Corn And Sickle,3283,60.0,3343,2.445286442,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),H. PRASAD RAO,MALE,39.0,ST,INC,Hand,994,7.0,1001,0.73219615,184967
2019,Andhra Pradesh,10,PALAKONDA (ST),ARIKA KRISHNA RAO,MALE,58.0,ST,IND,Gas Cylinder,786,5.0,791,0.578588566,184967
2014,Andhra Pradesh,11,KURUPAM (ST),PUSHPASREEVANI . PAMULA,FEMALE,33.0,ST,YSRCP,Ceiling Fan,73863,664.0,74527,52.02292368,184259
2014,Andhra Pradesh,11,KURUPAM (ST),VEERA VARA THODRAMAL NARA SIMHA PRIYA THATRAJ,FEMALE,65.0,ST,TDP,Bicycle,47607,318.0,47925,33.45362912,184259
